B-000000055,28/02/2025,None,00001,FEBRERO,0.00,1272.93,1272.93,203.67,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1272.00,1272.93,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,203.67,0.00,0.00,1272.93,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1272.93,0.00,0,1272.93,100,,,,,,FR100,BOLIVARES,
B-000000056,28/02/2025,None,00001,FEBRERO,0.00,1283.29,1283.29,205.33,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1283.00,1283.29,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,205.33,0.00,0.00,1283.29,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1283.29,0.00,0,1283.29,100,,,,,,FR100,BOLIVARES,
B-000000057,28/02/2025,None,00001,FEBRERO,0.00,1927.20,1927.20,308.35,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1927.00,1927.20,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,308.35,0.00,0.00,1927.20,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0001] Residencial FTTH 400 Mbps,ALG,1,1927.20,0.00,0,1927.20,100,,,,,,FR400,BOLIVARES,
B-000000058,28/02/2025,None,00001,FEBRERO,0.00,1606.00,1606.00,256.96,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1606.00,1606.00,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,256.96,0.00,0.00,1606.00,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0031] Residencial FTTH 200 Mbps PD24,ALG,1,1606.00,0.00,0,1606.00,100,,,,,,False,BOLIVARES,
B-000000059,28/02/2025,None,00001,FEBRERO,0.00,1251.91,1251.91,200.31,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1251.00,1251.91,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,200.31,0.00,0.00,1251.91,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1251.91,0.00,0,1251.91,100,,,,,,FR100,BOLIVARES,
B-000000060,28/02/2025,None,00001,FEBRERO,0.00,1927.20,1927.20,308.35,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1927.00,1927.20,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,308.35,0.00,0.00,1927.20,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0001] Residencial FTTH 400 Mbps,ALG,1,1927.20,0.00,0,1927.20,100,,,,,,FR400,BOLIVARES,
B-000000062,28/02/2025,None,00001,FEBRERO,0.00,1927.20,1927.20,308.35,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1927.00,1927.20,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,308.35,0.00,0.00,1927.20,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0001] Residencial FTTH 400 Mbps,ALG,1,1927.20,0.00,0,1927.20,100,,,,,,FR400,BOLIVARES,
B-000000063,28/02/2025,None,00001,FEBRERO,0.00,1284.80,1284.80,205.57,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,1284.00,1284.80,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,205.57,0.00,0.00,1284.80,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0024] Residencial FTTH 100 Mbps,ALG,1,1284.80,0.00,0,1284.80,100,,,,,,FR100,BOLIVARES,
B-000000064,28/02/2025,None,00001,FEBRERO,0.00,2569.60,2569.60,411.14,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,2569.00,2569.60,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,411.14,0.00,0.00,2569.60,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0003] Residencial FTTH 600 Mbps,ALG,1,2569.60,0.00,0,2569.60,100,,,,,,FR600,BOLIVARES,
B-000000066,28/02/2025,None,00001,FEBRERO,0.00,2569.60,2569.60,411.14,0.00,0.00,VED,PR1,UNICO,BOR,FAC,N,N,0,1,0,28/02/2025,Contado,TN1,MON,0,1,2569.00,2569.60,CON,30,N,,REG,,,VEI,0.00,28/02/2025,0,28/02/2025,N,N,N,28/02/2025,UNICO,0,,0,0,0,0,16,8,31,411.14,0.00,0.00,2569.60,0,0,28/02/2025,N,0.00,0.00,0.00,3.00,[PLN-FTH-0003] Residencial FTTH 600 Mbps,ALG,1,2569.60,0.00,0,2569.60,100,,,,,,FR600,BOLIVARES,
